number,total,tes,pcs,ded,,,
1,57.07,28.71,29.36,1,Kaetlyn OSMOND,2015,NHK
2,54.96,28.88,27.08,1,Mariko KIHARA,2015,NHK
3,55.68,28.79,27.89,1,Maria ARTEMIEVA,2015,NHK
4,60.78,32.21,28.57,0,Zijun LI,2015,NHK
5,61.1,32.2,28.9,0,Mirai NAGASU,2015,NHK
6,62.5,30.8,32.7,1,Mao ASADA,2015,NHK
7,65.6,36.09,29.51,0,Courtney HICKS,2015,NHK
8,59.63,29.8,30.83,1,Alena LEONOVA,2015,NHK
9,63.71,30.25,33.46,0,Ashley WAGNER,2015,NHK
10,47.35,22.49,27.86,3,Anna POGORILAYA,2015,NHK
11,69.53,37.5,32.03,0,Satoko MIYAHARA,2015,NHK
12,53.6,28.36,25.24,0,Angela WANG,2015,TEB
13,46.53,24.07,24.46,2,Laurine LECAVELIER,2015,TEB
14,47.65,24.47,23.18,0,Brooklee HAN,2015,TEB
15,46.82,23.76,23.06,0,Mae Berenice MEITE,2015,TEB
16,58.81,32.77,26.04,0,Roberta RODEGHIERO,2015,TEB
17,47.87,24.76,25.11,2,Haruka IMAI,2015,TEB
18,53.68,28.02,25.66,0,Angelina KUCHVALSKA,2015,TEB
19,55.35,27.54,27.81,2,Gabrielle DALEMAN,2015,TEB
20,58.3,29.53,28.77,0,Kanako MURAKAMI,2015,TEB
21,65.63,35.06,30.57,0,Julia LIPNITSKAIA,2015,TEB
22,73.32,39.3,34.02,0,Gracie GOLD,2015,TEB
23,56.21,26.55,30.66,1,Elizaveta TUKTAMYSHEVA,2015,TEB
24,41.93,19.56,22.37,0,Anne Line GJERSEM,2014,COC
25,39.8,16.97,23.83,1,Ashley CAIN,2014,COC
26,44.72,22.17,23.55,1,Hae Jin KIM,2014,COC
27,50.32,24.87,26.45,1,Polina EDMUNDS,2014,COC
28,58.49,32,26.49,0,Gabrielle DALEMAN,2014,COC
29,53.66,28.4,26.26,1,Zijun LI,2014,COC
30,47.15,20.63,26.52,0,Christina GAO,2014,COC
31,52,25.12,26.88,0,Viktoria HELGESSON,2014,COC
32,60.44,30.38,30.06,0,Kanako MURAKAMI,2014,COC
33,67.99,36.45,31.54,0,Elizaveta TUKTAMYSHEVA,2014,COC
34,69.56,37.41,32.15,0,Julia LIPNITSKAIA,2014,COC
35,58.5,32.23,26.27,0,Alaine CHARTRAND,2015,4CC
36,55.25,29.1,26.15,0,Gabrielle DALEMAN,2015,4CC
37,40.68,21.54,20.14,1,Brooklee HAN,2015,4CC
38,61.03,33.26,27.77,0,Polina EDMUNDS,2015,4CC
39,53.47,27.99,25.48,0,So Youn PARK,2015,4CC
40,54.95,28.4,26.55,0,Samantha CESARIO,2015,4CC
41,62.67,32.53,30.14,0,Gracie GOLD,2015,4CC
